Sl,Year,Position,Team
1,2009-2010,1,Marseille 
2,2009-2010,2,Lyon
3,2009-2010,3,Auxerre
4,2009-2010,4,Lille
5,2009-2010,5,Montpellier
6,2009-2010,6,Bordeaux
7,2009-2010,7,Lorient
8,2009-2010,8,Monaco
9,2009-2010,9,Rennes
10,2009-2010,10,Valenciennes
11,2009-2010,11,Lens
12,2009-2010,12,Nancy
13,2009-2010,13,Paris Saint-Germain
14,2009-2010,14,Toulouse
15,2009-2010,15,Nice
16,2009-2010,16,Sochaux
17,2009-2010,17,Saint-Étienne
18,2009-2010,18,Le Mans
19,2009-2010,19,Boulogne 
20,2009-2010,20,Grenoble
21,2010-2011,1,Lile
22,2010-2011,2,Marseille 
23,2010-2011,3,Lyon
24,2010-2011,4,Paris Saint-Germain
25,2010-2011,5,Sochaux
26,2010-2011,6,Rennes
27,2010-2011,7,Bordeaux
28,2010-2011,8,Toulouse
29,2010-2011,9,Auxerre
30,2010-2011,10,Saint-Étienne
31,2010-2011,11,Lorient
32,2010-2011,12,Valenciennes
33,2010-2011,13,Nancy
34,2010-2011,14,Montpellier
35,2010-2011,15,Caen
36,2010-2011,16,Brest
37,2010-2011,17,Nice
38,2010-2011,18,Monaco
39,2010-2011,19,Lens
40,2010-2011,20,Aries-Avignon
41,2011-2012,1,Montpellier
42,2011-2012,2,Paris Saint-Germain
43,2011-2012,3,Lille
44,2011-2012,4,Lyon
45,2011-2012,5,Bordeaux
46,2011-2012,6,Rennes
47,2011-2012,7,Saint-Étienne
48,2011-2012,8,Toulouse
49,2011-2012,9,Evian
50,2011-2012,10,Marseille 
51,2011-2012,11,Nancy
52,2011-2012,12,Valenciennes
53,2011-2012,13,Nice
54,2011-2012,14,Sochaux
55,2011-2012,15,Brest
56,2011-2012,16,Ajaccio
57,2011-2012,17,Lorient
58,2011-2012,18,Caen
59,2011-2012,19,Dijon
60,2011-2012,20,Auxerre
61,2012-2013,1,Paris Saint-Germain
62,2012-2013,2,Marseille 
63,2012-2013,3,Lyon
64,2012-2013,4,Nice
65,2012-2013,5,Saint-Étienne
66,2012-2013,6,Lille
67,2012-2013,7,Bordeaux
68,2012-2013,8,Lorient
69,2012-2013,9,Montpellier
70,2012-2013,10,Toulouse
71,2012-2013,11,Valenciennes
72,2012-2013,12,Bastia
73,2012-2013,13,Rennes
74,2012-2013,14,Reims
75,2012-2013,15,Sochaux
76,2012-2013,16,Evian
77,2012-2013,17,Ajaccio
78,2012-2013,18,Nancy
79,2012-2013,19,Troyes
80,2012-2013,20,Brest
