Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
11,Ajaccio,Toulouse,A,2.63,3,2.88,2.6,2.95,2.8,2.5,3,2.8,2.5,3,2.7,2.6,3,2.6,2.6,3,2.6
11,Brest,Evian Thonon Gaillard,D,2.3,3,3.4,2.15,3.1,3.4,2.2,3,3.3,2.1,3.1,3.3,2.2,3,3.2,2.2,3,3.2
11,Caen,Valenciennes,H,2.3,3,3.4,2.25,3,3.3,2.15,3,3.4,2.1,3,3.4,2.2,3,3.2,2.2,3.1,3.1
11,Marseille,Sochaux,D,1.53,3.8,6.75,1.5,3.9,6.25,1.5,3.75,6.5,1.45,3.9,6.5,1.57,3.5,5.5,1.5,3.6,6.5
11,Montpellier,Auxerre,H,2.1,3.1,3.8,2.1,3,3.7,2.15,3,3.4,2.25,3,3.05,2.1,3,3.4,2.1,3,3.4
11,Nancy,Lille,D,3.5,3.1,2.2,3.4,3.2,2.1,3.4,3.1,2.1,3.3,3.1,2.1,3.4,3,2.1,3.2,3.1,2.15
11,Nice,Lyon,A,4,3.2,2,3.7,3.25,2,3.75,3.1,2,3.3,3.1,2.1,3.6,3.1,2,3.6,3.2,1.95
11,Paris SG,Lorient,A,1.53,3.8,6.75,1.57,3.7,5.75,1.55,3.6,6,1.6,3.5,5.2,1.53,3.5,6,1.5,3.6,6.5
11,Bordeaux,St Etienne,A,1.91,3.25,4.33,1.88,3.25,4.1,1.85,3.2,4.25,1.75,3.25,4.5,1.91,3,4,1.85,3.2,4
11,Dijon,Rennes,A,2.88,3,2.63,2.95,2.95,2.5,2.9,3,2.4,2.75,3.1,2.4,2.9,2.88,2.4,2.7,3,2.5
11,Lorient,Bordeaux,D,2.4,3.2,3,2.4,3,3,2.4,3,3,2.4,3.2,2.7,2.38,3,2.8,2.3,3.1,2.9
11,Lyon,Ajaccio,D,1.3,5,11,1.26,5.25,10.5,1.27,5,10,1.25,5,10,1.22,5,10,1.25,5,10
11,Rennes,Paris SG,D,2.7,3.1,2.7,2.65,3.1,2.65,2.6,3.1,2.6,2.5,3.2,2.6,2.6,3,2.5,2.7,3,2.5
11,Sochaux,Caen,A,2,3.2,4,1.95,3.25,3.9,2,3.1,3.75,1.85,3.4,3.8,1.91,3.2,3.6,1.9,3.2,3.8
