Name,club,overall,player_positions
Lionel Andrés Messi Cuccittini,FC Barcelona,93,CF
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,92,"LW, LM"
Arjen Robben,FC Bayern München,90,"RM, LM, RW"
Zlatan Ibrahimović,Paris Saint-Germain,90,ST
Manuel Neuer,FC Bayern München,90,GK
Luis Alberto Suárez Díaz,FC Barcelona,89,"ST, CF"
Eden Hazard,Chelsea,88,"LM, RM"
Robin van Persie,Manchester United,88,ST
Bastian Schweinsteiger,FC Bayern München,88,"CM, CDM"
Franck Bilal Ribéry,FC Bayern München,88,LM
Radamel Falcao García Zárate,Manchester United,88,ST
Gareth Frank Bale,Real Madrid,87,"RM, RW"
Robert Lewandowski,FC Bayern München,87,"ST, CF"
Philipp Lahm,FC Bayern München,87,"CDM, RB, CM"
Sergio Ramos García,Real Madrid,87,CB
Thiago Emiliano da Silva,Paris Saint-Germain,87,CB
David Josué Jiménez Silva,Manchester City,87,"LM, CAM"
Luka Modrić,Real Madrid,87,"CM, CDM"
James David Rodríguez Rubio,Real Madrid,86,"CAM, RW"
Neymar da Silva Santos Junior,FC Barcelona,86,LW
Thibaut Courtois,Chelsea,86,GK
Mats  Hummels,Borussia Dortmund,86,CB
Ángel Fabián Di María Hernández,Manchester United,86,"CAM, CM, RM"
Marco Reus,Borussia Dortmund,86,"LM, RM, ST, CAM"
Thomas Müller,FC Bayern München,86,"RM, CAM, ST, LM"
Sergio Leonel Agüero del Castillo,Manchester City,86,ST
Mesut Özil,Arsenal,86,"CAM, LW"
Xavier Hernández Creus,FC Barcelona,86,CM
Gnégnéri Yaya Touré,Manchester City,86,"CM, CDM"
Wayne Mark Rooney,Manchester United,86,"ST, CF, CAM"
Vincent Kompany,Manchester City,86,CB
Mario Götze,FC Bayern München,85,"CAM, CF, CM, RM"
Sergio Busquets i Burgos,FC Barcelona,85,"CDM, CM"
Toni Kroos,Real Madrid,85,"CM, CDM, CAM"
Karim Benzema,Real Madrid,85,ST
Edinson Roberto Cavani Gómez,Paris Saint-Germain,85,"ST, RW"
Diego da Silva Costa,Chelsea,85,ST
Arturo Vidal,Juventus,85,"CM, CDM"
Hugo Lloris,Tottenham Hotspur,85,GK
Javier Martínez Aginaga,FC Bayern München,85,"CB, CDM, CM"
Juan Manuel Mata García,Manchester United,85,"CAM, RM"
Jérôme Boateng,FC Bayern München,85,"CB, RB"
