Pos,Pos,Year
Paris Saint-Germain,1,15
Olympique Lyonnais,2,15
AS Monaco,3,15
Olympique de Marseille,4,15
AS Saint-Étienne,5,15
FC Girondins de Bordeaux,6,15
Montpellier HSC,7,15
LOSC Lille,8,15
Stade Rennais FC,9,15
En Avant de Guingamp,10,15
OGC Nice,11,15
Sporting Club de Bastia,12,15
Stade Malherbe Caen,13,15
FC Nantes,14,15
Stade de Reims,15,15
FC Lorient,16,15
Toulouse Football Club,17,15
Évian Thonon Gaillard FC,18,15
FC Metz,19,15
Racing Club de Lens,20,15
Paris Saint-Germain,1,16
Olympique Lyonnais,2,16
AS Monaco,3,16
OGC Nice,4,16
LOSC Lille,5,16
AS Saint-Étienne,6,16
Stade Malherbe Caen,7,16
Stade Rennais FC,8,16
Angers SCO,9,16
Sporting Club de Bastia,10,16
FC Girondins de Bordeaux,11,16
Montpellier HSC,12,16
Olympique de Marseille,13,16
FC Nantes,14,16
FC Lorient,15,16
En Avant de Guingamp,16,16
Toulouse Football Club,17,16
Stade de Reims,18,16
AC Ajaccio,19,16
ESTAC Troyes,20,17
AS Monaco,1,17
Paris Saint-Germain,2,17
OGC Nice,3,17
Olympique Lyonnais,4,17
Olympique de Marseille,5,17
FC Girondins de Bordeaux,6,17
FC Nantes,7,17
Stade Rennais FC,8,17
AS Saint-Étienne,9,17
En Avant de Guingamp,10,17
Angers SCO,11,17
LOSC Lille,12,17
Toulouse Football Club,13,17
FC Metz,14,17
Montpellier HSC,15,17
Dijon FCO,16,17
Stade Malherbe Caen,17,17
FC Lorient,18,17
AS Nancy Lorraine,19,17
Sporting Club de Bastia,20,17
Paris Saint-Germain,1,18
AS Monaco,2,18
Olympique Lyonnais,3,18
Olympique de Marseille,4,18
Stade Rennais FC,5,18
FC Girondins de Bordeaux,6,18
AS Saint-Étienne,7,18
OGC Nice,8,18
FC Nantes,9,18
Montpellier HSC,10,18
Dijon FCO,11,18
En Avant de Guingamp,12,18
Amiens SC,13,18
Angers SCO,14,18
RC Strasbourg Alsace,15,18
Stade Malherbe Caen,16,18
LOSC Lille,17,18
Toulouse Football Club,18,18
ESTAC Troyes,19,18
FC Metz,20,18
Paris Saint-Germain,1,19
LOSC Lille,2,19
Olympique Lyonnais,3,19
AS Saint-Étienne,4,19
Olympique de Marseille,5,19
Montpellier HSC,6,19
OGC Nice,7,19
Stade de Reims,8,19
Nîmes Olympique,9,19
Stade Rennais FC,10,19
RC Strasbourg Alsace,11,19
FC Nantes,12,19
Angers SCO,13,19
FC Girondins de Bordeaux,14,19
Amiens SC,15,19
Toulouse Football Club,16,19
AS Monaco,17,19
Dijon FCO,18,19
Stade Malherbe Caen,19,19
En Avant de Guingamp,20,19
