Home Team,Away Team,Done
Nîmes Olympique,Stade Rennais FC,N
AS Saint-Etienne,AS Monaco,N
Toulouse FC,Olympique Lyonnais,N
Stade Brestois 29,Paris Saint-Germain,N
LOSC,FC Metz,N
AS Monaco,Dijon FCO,N
Montpellier Hérault SC,Toulouse FC,N
FC Nantes,AS Saint-Etienne,N
OGC Nice,Girondins de Bordeaux,N
Stade de Reims,Angers SCO,N
Stade Rennais FC,Amiens SC,N
RC Strasbourg Alsace,Nîmes Olympique,N
Olympique de Marseille,Olympique Lyonnais,N
Amiens SC,RC Strasbourg Alsace,N
Angers SCO,Nîmes Olympique,N
Girondins de Bordeaux,AS Monaco,N
Stade Brestois 29,FC Nantes,N
Dijon FCO,Stade Rennais FC,N
Olympique Lyonnais,OGC Nice,N
FC Metz,Stade de Reims,N
Paris Saint-Germain,LOSC,N
AS Saint-Etienne,Montpellier Hérault SC,N
Toulouse FC,Olympique de Marseille,N
LOSC,Dijon FCO,N
Olympique de Marseille,Stade Brestois 29,N
AS Monaco,Paris Saint-Germain,N
Montpellier Hérault SC,Amiens SC,N
FC Nantes,Toulouse FC,N
OGC Nice,Angers SCO,N
Nîmes Olympique,FC Metz,N
Stade de Reims,Girondins de Bordeaux,N
Stade Rennais FC,AS Saint-Etienne,N
RC Strasbourg Alsace,Olympique Lyonnais,N
Amiens SC,Stade de Reims,N
Angers SCO,Olympique de Marseille,N
Girondins de Bordeaux,Nîmes Olympique,N
Stade Brestois 29,RC Strasbourg Alsace,N
Dijon FCO,Montpellier Hérault SC,N
Olympique Lyonnais,LOSC,N
FC Metz,Stade Rennais FC,N
Paris Saint-Germain,FC Nantes,N
AS Saint-Etienne,OGC Nice,N
Toulouse FC,AS Monaco,N
LOSC,Stade Brestois 29,N
Olympique de Marseille,Girondins de Bordeaux,N
AS Monaco,Amiens SC,N
Montpellier Hérault SC,Paris Saint-Germain,N
FC Nantes,Dijon FCO,N
OGC Nice,FC Metz,N
Nîmes Olympique,Olympique Lyonnais,N
Stade de Reims,AS Saint-Etienne,N
Stade Rennais FC,Angers SCO,N
RC Strasbourg Alsace,Toulouse FC,N
Amiens SC,Dijon FCO,N
Angers SCO,AS Monaco,N
Girondins de Bordeaux,RC Strasbourg Alsace,N
Stade Brestois 29,OGC Nice,N
LOSC,Montpellier Hérault SC,N
Olympique Lyonnais,Stade Rennais FC,N
FC Metz,Olympique de Marseille,N
Nîmes Olympique,FC Nantes,N
Toulouse FC,Stade de Reims,N
AS Saint-Etienne,Paris Saint-Germain,N
Dijon FCO,FC Metz,N
Olympique de Marseille,Nîmes Olympique,N
AS Monaco,LOSC,N
Montpellier Hérault SC,Stade Brestois 29,N
FC Nantes,Angers SCO,N
OGC Nice,Toulouse FC,N
Paris Saint-Germain,Amiens SC,N
Stade de Reims,Olympique Lyonnais,N
Stade Rennais FC,Girondins de Bordeaux,N
RC Strasbourg Alsace,AS Saint-Etienne,N
Amiens SC,Montpellier Hérault SC,N
Angers SCO,OGC Nice,N
Girondins de Bordeaux,Olympique Lyonnais,N
Dijon FCO,LOSC,N
FC Metz,RC Strasbourg Alsace,N
